date,kg,
2022/4/3,75.1 ,19.0 
2022/4/4,75.4 ,19.4 
2022/4/5,74.8 ,20.1 
2022/4/6,75.3 ,18.7 
2022/4/7,75.5 ,19.4 
2022/4/8,75.6 ,19.0 
2022/4/9,74.8 ,19.6 
2022/4/10,,
2022/4/11,76.0 ,19.1 
2022/4/12,75.3 ,20.2 
2022/4/13,75.1 ,20.1 
2022/4/14,75.2 ,19.4 
2022/4/15,75.1 ,19.2 
2022/4/16,74.8 ,18.4 
2022/4/17,75.0 ,19.2 
2022/4/18,75.0 ,19.7 
2022/4/19,74.4 ,19.4 
2022/4/20,74.8 ,18.4 
2022/4/21,75.2 ,19.4 
2022/4/22,74.8 ,18.5 
2022/4/23,74.3 ,19.4 
2022/4/24,74.4 ,18.0 
2022/4/25,75.4 ,17.9 
2022/4/26,74.7 ,18.4 
2022/4/27,74.3 ,19.4 
2022/4/28,74.2 ,18.8 
2022/4/29,74.9 ,18.2 
2022/4/30,75.4 ,19.9 
2022/5/1,,
2022/5/2,74.8 ,18.4 
2022/5/3,75.5 ,19.4 
2022/5/4,,
2022/5/5,,
2022/5/6,76.5 ,19.5 
2022/5/7,76.0 ,19.8 
2022/5/8,76.1 ,19.3 
2022/5/9,76.1 ,20.3 
2022/5/10,76.2 ,19.8 
2022/5/11,75.8 ,19.3 
2022/5/12,75.5 ,19.3 
2022/5/13,75.5 ,18.5 
2022/5/14,75.1 ,18.5 
2022/5/15,75.2 ,16.7 
2022/5/16,75.7 ,18.5 
2022/5/17,75.5 ,19.1 
2022/5/18,75.5 ,19.2 
2022/5/19,75.2 ,19.9 
2022/5/20,75.0 ,18.3 
2022/5/21,75.0 ,19.0 
2022/5/22,74.5 ,17.6 
2022/5/23,75.5 ,18.7 
2022/5/24,75.6 ,16.8 
2022/5/25,75.5 ,17.9 
2022/5/26,75.1 ,18.0 
2022/5/27,75.7 ,18.0 
2022/5/28,74.5 ,17.0 
2022/5/29,74.9 ,18.0 
2022/5/30,75.6 ,18.1 
2022/5/31,75.5 ,19.6 
2022/6/1,75.4 ,18.8 
2022/6/2,75.1 ,18.8 
2022/6/3,75.0 ,19.7 
2022/6/4,75.0 ,17.9 
2022/6/5,75.1 ,6.8 
2022/6/6,75.6 ,18.7 
2022/6/7,75.5 ,20.2 
2022/6/8,75.3 ,19.7 
2022/6/9,75.1 ,19.7 
2022/6/10,74.6 ,18.7 
2022/6/11,74.9 ,18.0 
2022/6/12,74.4 ,16.9 
2022/6/13,75.5 ,18.5 
2022/6/14,76.1 ,19.5 
2022/6/15,75.1 ,18.5 
2022/6/16,75.2 ,19.5 
2022/6/17,75.3 ,18.6 
2022/6/18,75.1 ,19.5 
2022/6/19,75.6 ,19.5 
2022/6/20,76.3 ,18.6 
2022/6/21,75.9 ,18.7 
2022/6/22,75.3 ,18.7 
2022/6/23,,
2022/6/24,75.5 ,18.7 
2022/6/25,75.1 ,19.0 
2022/6/26,74.9 ,17.6 
2022/6/27,76.2 ,17.8 
2022/6/28,75.9 ,18.4 
2022/6/29,75.8 ,19.1 
2022/6/30,75.5 ,19.4 
2022/7/1,75.8 ,19.6 
2022/7/2,75.1 ,18.8 
2022/7/3,74.5 ,17.2 
2022/7/4,75.9 ,18.3 
2022/7/5,76.3 ,19.1 
2022/7/6,76.1 ,18.3 
2022/7/7,75.5 ,19.3 
2022/7/8,75.3 ,18.3 
2022/7/9,74.8 ,18.8 
2022/7/10,75.2 ,18.8 
2022/7/11,75.4 ,19.0 
2022/7/12,75.2 ,20.1 
2022/7/13,74.6 ,18.1 
2022/7/14,75.3 ,19.1 
2022/7/15,75.4 ,19.1 
2022/7/16,75.3 ,19.1 
2022/7/17,75.4 ,19.1 
2022/7/18,75.5 ,19.1 
2022/7/19,76.0 ,18.5 
2022/7/20,75.5 ,19.6 
2022/7/21,74.9 ,19.5 
2022/7/22,74.9 ,19.0 
2022/7/23,74.9 ,18.5 
2022/7/24,75.3 ,19.0 
2022/7/25,75.2 ,18.3 
2022/7/26,75.7 ,18.9 
2022/7/27,75.2 ,19.0 
2022/7/28,74.9 ,18.8 
2022/7/29,75.5 ,18.8 
